Source,Target,Type,Id,Label,Weight
4nDoRrQiYLoBzwC5BhVJzF,6M2wZ9GZgrQXHCFfjv46we,Undirected,0,,1
64M6ah0SkkRsnPGtGiRAbb,6M2wZ9GZgrQXHCFfjv46we,Undirected,1,,1
1zNqDE7qDGCsyzJwohVaoX,6M2wZ9GZgrQXHCFfjv46we,Undirected,2,,1
4npEfmQ6YuiwW1GpUmaq3F,6M2wZ9GZgrQXHCFfjv46we,Undirected,3,,1
0C8ZW7ezQVs4URX5aX7Kqx,6M2wZ9GZgrQXHCFfjv46we,Undirected,4,,1
5WUlDfRSoLAfcVSX1WnrxN,6M2wZ9GZgrQXHCFfjv46we,Undirected,5,,1
6M2wZ9GZgrQXHCFfjv46we,6jJ0s89eD6GaHleKKya26X,Undirected,6,,1
5CCwRZC6euC8Odo6y9X8jr,6M2wZ9GZgrQXHCFfjv46we,Undirected,7,,1
1Xylc3o4UrD53lo9CvFvVg,6M2wZ9GZgrQXHCFfjv46we,Undirected,8,,1
5YGY8feqx7naU7z4HrwZM6,6M2wZ9GZgrQXHCFfjv46we,Undirected,9,,1
6M2wZ9GZgrQXHCFfjv46we,6S2OmqARrzebs0tKUEyXyp,Undirected,10,,1
26VFTg2z8YR0cCuwLzESi2,6M2wZ9GZgrQXHCFfjv46we,Undirected,11,,1
66CXWjxzNUsdJxJ2JdwvnR,6M2wZ9GZgrQXHCFfjv46we,Undirected,12,,1
6KImCVD70vtIoJWnq6nGn3,6M2wZ9GZgrQXHCFfjv46we,Undirected,13,,1
6M2wZ9GZgrQXHCFfjv46we,7n2wHs1TKAczGzO7Dd2rGr,Undirected,14,,1
3e7awlrlDSwF3iM0WBjGMp,6M2wZ9GZgrQXHCFfjv46we,Undirected,15,,1
0X2BH1fck6amBIoJhDVmmJ,6M2wZ9GZgrQXHCFfjv46we,Undirected,16,,1
1l8Fu6IkuTP0U5QetQJ5Xt,6M2wZ9GZgrQXHCFfjv46we,Undirected,17,,1
5cj0lLjcoR7YOSnhnX0Po5,6M2wZ9GZgrQXHCFfjv46we,Undirected,18,,1
6M2wZ9GZgrQXHCFfjv46we,6MDME20pz9RveH9rEXvrOM,Undirected,19,,1
1l8Fu6IkuTP0U5QetQJ5Xt,4nDoRrQiYLoBzwC5BhVJzF,Undirected,20,,1
4nDoRrQiYLoBzwC5BhVJzF,64M6ah0SkkRsnPGtGiRAbb,Undirected,21,,1
1zNqDE7qDGCsyzJwohVaoX,4nDoRrQiYLoBzwC5BhVJzF,Undirected,22,,1
4nDoRrQiYLoBzwC5BhVJzF,6S2OmqARrzebs0tKUEyXyp,Undirected,23,,1
0C8ZW7ezQVs4URX5aX7Kqx,4nDoRrQiYLoBzwC5BhVJzF,Undirected,24,,1
4nDoRrQiYLoBzwC5BhVJzF,7n2wHs1TKAczGzO7Dd2rGr,Undirected,25,,1
1Xylc3o4UrD53lo9CvFvVg,4nDoRrQiYLoBzwC5BhVJzF,Undirected,26,,1
26VFTg2z8YR0cCuwLzESi2,4nDoRrQiYLoBzwC5BhVJzF,Undirected,27,,1
4Rxn7Im3LGfyRkY2FlHhWi,4nDoRrQiYLoBzwC5BhVJzF,Undirected,28,,1
4nDoRrQiYLoBzwC5BhVJzF,5p7f24Rk5HkUZsaS3BLG5F,Undirected,29,,1
2wUjUUtkb5lvLKcGKsKqsR,4nDoRrQiYLoBzwC5BhVJzF,Undirected,30,,1
4nDoRrQiYLoBzwC5BhVJzF,6JL8zeS1NmiOftqZTRgdTz,Undirected,31,,1
3e7awlrlDSwF3iM0WBjGMp,4nDoRrQiYLoBzwC5BhVJzF,Undirected,32,,1
4nDoRrQiYLoBzwC5BhVJzF,5ZsFI1h6hIdQRw2ti0hz81,Undirected,33,,1
4nDoRrQiYLoBzwC5BhVJzF,5CCwRZC6euC8Odo6y9X8jr,Undirected,34,,1
4nDoRrQiYLoBzwC5BhVJzF,6dJeKm76NjfXBNTpHmOhfO,Undirected,35,,1
4nDoRrQiYLoBzwC5BhVJzF,6VuMaDnrHyPL1p4EHjYLi7,Undirected,36,,1
4nDoRrQiYLoBzwC5BhVJzF,7gOdHgIoIKoe4i9Tta6qdD,Undirected,37,,1
4nDoRrQiYLoBzwC5BhVJzF,66CXWjxzNUsdJxJ2JdwvnR,Undirected,38,,1
1Xylc3o4UrD53lo9CvFvVg,64M6ah0SkkRsnPGtGiRAbb,Undirected,39,,1
1zNqDE7qDGCsyzJwohVaoX,64M6ah0SkkRsnPGtGiRAbb,Undirected,40,,1
5CCwRZC6euC8Odo6y9X8jr,64M6ah0SkkRsnPGtGiRAbb,Undirected,41,,1
64M6ah0SkkRsnPGtGiRAbb,6MDME20pz9RveH9rEXvrOM,Undirected,42,,1
5p7f24Rk5HkUZsaS3BLG5F,64M6ah0SkkRsnPGtGiRAbb,Undirected,43,,1
64M6ah0SkkRsnPGtGiRAbb,6Dd3NScHWwnW6obMFbl1BH,Undirected,44,,1
4npEfmQ6YuiwW1GpUmaq3F,64M6ah0SkkRsnPGtGiRAbb,Undirected,45,,1
0X2BH1fck6amBIoJhDVmmJ,64M6ah0SkkRsnPGtGiRAbb,Undirected,46,,1
1l8Fu6IkuTP0U5QetQJ5Xt,64M6ah0SkkRsnPGtGiRAbb,Undirected,47,,1
1MIVXf74SZHmTIp4V4paH4,64M6ah0SkkRsnPGtGiRAbb,Undirected,48,,1
2wUjUUtkb5lvLKcGKsKqsR,64M6ah0SkkRsnPGtGiRAbb,Undirected,49,,1
0ZED1XzwlLHW4ZaG4lOT6m,64M6ah0SkkRsnPGtGiRAbb,Undirected,50,,1
3e7awlrlDSwF3iM0WBjGMp,64M6ah0SkkRsnPGtGiRAbb,Undirected,51,,1
5yG7ZAZafVaAlMTeBybKAL,64M6ah0SkkRsnPGtGiRAbb,Undirected,52,,1
26VFTg2z8YR0cCuwLzESi2,64M6ah0SkkRsnPGtGiRAbb,Undirected,53,,1
4NHQUGzhtTLFvgF5SZesLK,64M6ah0SkkRsnPGtGiRAbb,Undirected,54,,1
25uiPmTg16RbhZWAqwLBy5,64M6ah0SkkRsnPGtGiRAbb,Undirected,55,,1
4Rxn7Im3LGfyRkY2FlHhWi,64M6ah0SkkRsnPGtGiRAbb,Undirected,56,,1
64M6ah0SkkRsnPGtGiRAbb,6S2OmqARrzebs0tKUEyXyp,Undirected,57,,1
64M6ah0SkkRsnPGtGiRAbb,6LqNN22kT3074XbTVUrhzX,Undirected,58,,1
1Xylc3o4UrD53lo9CvFvVg,1zNqDE7qDGCsyzJwohVaoX,Undirected,59,,1
1zNqDE7qDGCsyzJwohVaoX,6MDME20pz9RveH9rEXvrOM,Undirected,60,,1
1zNqDE7qDGCsyzJwohVaoX,5CCwRZC6euC8Odo6y9X8jr,Undirected,61,,1
1MIVXf74SZHmTIp4V4paH4,1zNqDE7qDGCsyzJwohVaoX,Undirected,62,,1
1zNqDE7qDGCsyzJwohVaoX,4npEfmQ6YuiwW1GpUmaq3F,Undirected,63,,1
1zNqDE7qDGCsyzJwohVaoX,3e7awlrlDSwF3iM0WBjGMp,Undirected,64,,1
1zNqDE7qDGCsyzJwohVaoX,5p7f24Rk5HkUZsaS3BLG5F,Undirected,65,,1
0X2BH1fck6amBIoJhDVmmJ,1zNqDE7qDGCsyzJwohVaoX,Undirected,66,,1
1zNqDE7qDGCsyzJwohVaoX,2wUjUUtkb5lvLKcGKsKqsR,Undirected,67,,1
1l8Fu6IkuTP0U5QetQJ5Xt,1zNqDE7qDGCsyzJwohVaoX,Undirected,68,,1
0ZED1XzwlLHW4ZaG4lOT6m,1zNqDE7qDGCsyzJwohVaoX,Undirected,69,,1
1zNqDE7qDGCsyzJwohVaoX,26VFTg2z8YR0cCuwLzESi2,Undirected,70,,1
1zNqDE7qDGCsyzJwohVaoX,4ScCswdRlyA23odg9thgIO,Undirected,71,,1
1zNqDE7qDGCsyzJwohVaoX,6JL8zeS1NmiOftqZTRgdTz,Undirected,72,,1
1zNqDE7qDGCsyzJwohVaoX,6Dd3NScHWwnW6obMFbl1BH,Undirected,73,,1
1zNqDE7qDGCsyzJwohVaoX,28y6CyJNkGNjJQKrlx4AmN,Undirected,74,,1
1HBjj22wzbscIZ9sEb5dyf,1zNqDE7qDGCsyzJwohVaoX,Undirected,75,,1
1zNqDE7qDGCsyzJwohVaoX,7gAppWoH7pcYmphCVTXkzs,Undirected,76,,1
1MIVXf74SZHmTIp4V4paH4,4npEfmQ6YuiwW1GpUmaq3F,Undirected,77,,1
4npEfmQ6YuiwW1GpUmaq3F,6MDME20pz9RveH9rEXvrOM,Undirected,78,,1
1Xylc3o4UrD53lo9CvFvVg,4npEfmQ6YuiwW1GpUmaq3F,Undirected,79,,1
4npEfmQ6YuiwW1GpUmaq3F,5CCwRZC6euC8Odo6y9X8jr,Undirected,80,,1
3e7awlrlDSwF3iM0WBjGMp,4npEfmQ6YuiwW1GpUmaq3F,Undirected,81,,1
0X2BH1fck6amBIoJhDVmmJ,4npEfmQ6YuiwW1GpUmaq3F,Undirected,82,,1
4nDoRrQiYLoBzwC5BhVJzF,4npEfmQ6YuiwW1GpUmaq3F,Undirected,83,,1
4Q6nIcaBED8qUel8bBx6Cr,4npEfmQ6YuiwW1GpUmaq3F,Undirected,84,,1
4npEfmQ6YuiwW1GpUmaq3F,74KM79TiuVKeVCqs8QtB0B,Undirected,85,,1
4npEfmQ6YuiwW1GpUmaq3F,5WUlDfRSoLAfcVSX1WnrxN,Undirected,86,,1
26VFTg2z8YR0cCuwLzESi2,4npEfmQ6YuiwW1GpUmaq3F,Undirected,87,,1
4npEfmQ6YuiwW1GpUmaq3F,6Dd3NScHWwnW6obMFbl1BH,Undirected,88,,1
2kRfqPViCqYdSGhYSM9R0Q,4npEfmQ6YuiwW1GpUmaq3F,Undirected,89,,1
1HBjj22wzbscIZ9sEb5dyf,4npEfmQ6YuiwW1GpUmaq3F,Undirected,90,,1
4npEfmQ6YuiwW1GpUmaq3F,6JL8zeS1NmiOftqZTRgdTz,Undirected,91,,1
2W8yFh0Ga6Yf3jiayVxwkE,4npEfmQ6YuiwW1GpUmaq3F,Undirected,92,,1
4npEfmQ6YuiwW1GpUmaq3F,6LqNN22kT3074XbTVUrhzX,Undirected,93,,1
0C8ZW7ezQVs4URX5aX7Kqx,6S2OmqARrzebs0tKUEyXyp,Undirected,94,,1
0C8ZW7ezQVs4URX5aX7Kqx,6dJeKm76NjfXBNTpHmOhfO,Undirected,95,,1
0C8ZW7ezQVs4URX5aX7Kqx,1l8Fu6IkuTP0U5QetQJ5Xt,Undirected,96,,1
0C8ZW7ezQVs4URX5aX7Kqx,4Rxn7Im3LGfyRkY2FlHhWi,Undirected,97,,1
0C8ZW7ezQVs4URX5aX7Kqx,64M6ah0SkkRsnPGtGiRAbb,Undirected,98,,1
0C8ZW7ezQVs4URX5aX7Kqx,6jJ0s89eD6GaHleKKya26X,Undirected,99,,1
0C8ZW7ezQVs4URX5aX7Kqx,5YGY8feqx7naU7z4HrwZM6,Undirected,100,,1
0C8ZW7ezQVs4URX5aX7Kqx,1zNqDE7qDGCsyzJwohVaoX,Undirected,101,,1
0C8ZW7ezQVs4URX5aX7Kqx,26VFTg2z8YR0cCuwLzESi2,Undirected,102,,1
0C8ZW7ezQVs4URX5aX7Kqx,66CXWjxzNUsdJxJ2JdwvnR,Undirected,103,,1
0C8ZW7ezQVs4URX5aX7Kqx,5ZsFI1h6hIdQRw2ti0hz81,Undirected,104,,1
0C8ZW7ezQVs4URX5aX7Kqx,6JL8zeS1NmiOftqZTRgdTz,Undirected,105,,1
0C8ZW7ezQVs4URX5aX7Kqx,7n2wHs1TKAczGzO7Dd2rGr,Undirected,106,,1
0C8ZW7ezQVs4URX5aX7Kqx,3e7awlrlDSwF3iM0WBjGMp,Undirected,107,,1
0C8ZW7ezQVs4URX5aX7Kqx,5p7f24Rk5HkUZsaS3BLG5F,Undirected,108,,1
0C8ZW7ezQVs4URX5aX7Kqx,2wUjUUtkb5lvLKcGKsKqsR,Undirected,109,,1
0C8ZW7ezQVs4URX5aX7Kqx,1Xylc3o4UrD53lo9CvFvVg,Undirected,110,,1
0C8ZW7ezQVs4URX5aX7Kqx,6sCbFbEjbYepqswM1vWjjs,Undirected,111,,1
0X2BH1fck6amBIoJhDVmmJ,5WUlDfRSoLAfcVSX1WnrxN,Undirected,112,,1
4NHQUGzhtTLFvgF5SZesLK,5WUlDfRSoLAfcVSX1WnrxN,Undirected,113,,1
1moxjboGR7GNWYIMWsRjgG,5WUlDfRSoLAfcVSX1WnrxN,Undirected,114,,1
3BmGtnKgCSGYIUhmivXKWX,5WUlDfRSoLAfcVSX1WnrxN,Undirected,115,,1
26VFTg2z8YR0cCuwLzESi2,5WUlDfRSoLAfcVSX1WnrxN,Undirected,116,,1
2gsggkzM5R49q6jpPvazou,5WUlDfRSoLAfcVSX1WnrxN,Undirected,117,,1
5WUlDfRSoLAfcVSX1WnrxN,64M6ah0SkkRsnPGtGiRAbb,Undirected,118,,1
1KCSPY1glIKqW2TotWuXOR,5WUlDfRSoLAfcVSX1WnrxN,Undirected,119,,1
1HY2Jd0NmPuamShAr6KMms,5WUlDfRSoLAfcVSX1WnrxN,Undirected,120,,1
2wUjUUtkb5lvLKcGKsKqsR,5WUlDfRSoLAfcVSX1WnrxN,Undirected,121,,1
5WUlDfRSoLAfcVSX1WnrxN,7H55rcKCfwqkyDFH9wpKM6,Undirected,122,,1
5CCwRZC6euC8Odo6y9X8jr,5WUlDfRSoLAfcVSX1WnrxN,Undirected,123,,1
2WX2uTcsvV5OnS0inACecP,5WUlDfRSoLAfcVSX1WnrxN,Undirected,124,,1
1l8Fu6IkuTP0U5QetQJ5Xt,5WUlDfRSoLAfcVSX1WnrxN,Undirected,125,,1
1zNqDE7qDGCsyzJwohVaoX,5WUlDfRSoLAfcVSX1WnrxN,Undirected,126,,1
4ScCswdRlyA23odg9thgIO,5WUlDfRSoLAfcVSX1WnrxN,Undirected,127,,1
5WUlDfRSoLAfcVSX1WnrxN,6MDME20pz9RveH9rEXvrOM,Undirected,128,,1
4dpARuHxo51G3z768sgnrY,5WUlDfRSoLAfcVSX1WnrxN,Undirected,129,,1
